,Normalized_Current_Speed,Normalized_Height,Moon Illuminated,Cluster
0,0.37735849056603776,0.812734082397004,0.75,2
1,0.339622641509434,0.7940074906367041,0.67,2
2,0.30188679245283034,0.7696629213483146,0.58,2
3,0.30188679245283034,0.7359550561797754,0.48,2
4,0.39622641509433987,0.6985018726591758,0.39,2
5,0.5283018867924528,0.6647940074906367,0.29,1
6,0.6603773584905662,0.6441947565543071,0.2,1
7,0.7924528301886794,0.6423220973782773,0.13,1
8,0.8867924528301888,0.7584269662921348,0.06,1
9,0.9056603773584907,0.848314606741573,0.02,1
10,0.8679245283018869,0.9063670411985021,0.0,1
11,0.7924528301886794,0.9456928838951308,0.01,1
12,0.7169811320754716,0.9719101123595506,0.05,1
13,0.6603773584905662,0.99063670411985,0.11,1
14,0.6603773584905662,1.0000000000000002,0.2,1
15,0.6226415094339622,0.9962546816479401,0.3,1
16,0.5283018867924528,0.9700374531835207,0.41,1
17,0.4905660377358493,0.9176029962546817,0.52,2
18,0.5094339622641512,0.842696629213483,0.63,2
19,0.5849056603773587,0.7565543071161049,0.73,0
20,0.6603773584905662,0.6741573033707866,0.82,0
21,0.6792452830188681,0.7621722846441947,0.89,0
22,0.6415094339622643,0.8445692883895133,0.94,0
23,0.5660377358490566,0.8707865168539326,0.98,0
24,0.5283018867924528,0.8632958801498127,1.0,0
25,0.4905660377358493,0.842696629213483,1.0,0
26,0.4716981132075472,0.8277153558052437,0.98,0
27,0.4716981132075472,0.8220973782771535,0.94,0
28,0.4716981132075472,0.8220973782771535,0.89,0
29,0.4716981132075472,0.8146067415730338,0.82,0
30,0.4339622641509434,0.792134831460674,0.74,0
31,0.39622641509433987,0.7490636704119848,0.66,2
32,0.39622641509433987,0.6910112359550562,0.56,2
33,0.4528301886792455,0.6292134831460674,0.47,2
34,0.5471698113207549,0.5786516853932586,0.36,2
35,0.6603773584905662,0.5524344569288391,0.27,1
36,0.7169811320754716,0.6404494382022474,0.18,1
37,0.7547169811320756,0.7415730337078652,0.1,1
38,0.7547169811320756,0.8146067415730338,0.04,1
39,0.7169811320754716,0.8707865168539326,0.01,1
40,0.6792452830188681,0.9157303370786518,0.0,1
41,0.7169811320754716,0.9531835205992512,0.03,1
42,0.7547169811320756,0.9812734082397003,0.08,1
43,0.7169811320754716,0.9868913857677903,0.16,1
44,0.6603773584905662,0.9588014981273407,0.26,1
45,0.5849056603773587,0.8932584269662922,0.36,1
46,0.5094339622641512,0.7902621722846441,0.47,2
47,0.4716981132075472,0.6647940074906367,0.58,2
48,0.4716981132075472,0.5430711610486891,0.68,2
49,0.4716981132075472,0.6591760299625469,0.77,0
50,0.4905660377358493,0.7434456928838951,0.84,0
51,0.5471698113207549,0.7790262172284643,0.91,0
52,0.5660377358490566,0.7771535580524342,0.96,0
53,0.5283018867924528,0.7602996254681647,0.99,0
54,0.5094339622641512,0.747191011235955,1.0,0
55,0.5094339622641512,0.7453183520599249,0.99,0
56,0.5283018867924528,0.7509363295880152,0.97,0
57,0.5471698113207549,0.752808988764045,0.93,0
58,0.5660377358490566,0.7378277153558053,0.88,0
59,0.5660377358490566,0.7003745318352059,0.81,0
60,0.5660377358490566,0.646067415730337,0.73,0
61,0.5283018867924528,0.5805243445692885,0.63,2
62,0.5283018867924528,0.5131086142322097,0.53,2
63,0.5283018867924528,0.45318352059925116,0.43,2
64,0.5471698113207549,0.5168539325842698,0.32,2
65,0.5471698113207549,0.6161048689138577,0.22,1
66,0.5660377358490566,0.6947565543071161,0.13,1
67,0.6226415094339622,0.7602996254681647,0.06,1
68,0.7169811320754716,0.8183520599250935,0.02,1
