,Current_Speed_(knots),Height (cm),Height (ft),Moon Illuminated,Current speed category
3554,,351.0,11.51,0.62,
3555,0.0,,,0.62,No Current
3556,0.2,,,0.62,Weak Current
3557,,153.0,5.03,0.62,
3558,0.0,,,0.62,No Current
3559,,242.0,7.93,0.62,
3560,0.4,,,0.73,Weak Current
3561,,59.0,1.93,0.73,
3562,0.0,,,0.73,No Current
3563,0.2,,,0.73,Weak Current
3564,,359.0,11.78,0.73,
3565,0.0,,,0.73,No Current
3566,0.4,,,0.73,Weak Current
3567,,99.0,3.24,0.73,
3568,0.0,,,0.73,No Current
3569,,263.0,8.63,0.83,
3570,0.0,,,0.83,No Current
3571,0.4,,,0.83,Weak Current
3572,,89.0,2.93,0.83,
3573,0.0,,,0.83,No Current
3574,0.2,,,0.83,Weak Current
3575,,367.0,12.05,0.83,
3576,0.0,,,0.83,No Current
3577,0.6,,,0.83,Weak Current
3578,,41.0,1.33,0.83,
3579,0.0,,,0.83,No Current
3580,0.2,,,0.91,Weak Current
3581,,293.0,9.62,0.91,
3582,0.0,,,0.91,No Current
3583,0.4,,,0.91,Weak Current
3584,,122.0,4.0,0.91,
3585,0.0,,,0.91,No Current
3586,0.2,,,0.91,Weak Current
3587,,374.0,12.28,0.91,
3588,0.0,,,0.91,No Current
3589,0.7,,,0.91,Weak Current
3590,,15.0,0.5,0.91,
3591,0.0,,,0.91,No Current
3592,0.3,,,0.96,Weak Current
3593,,325.0,10.66,0.96,
3594,0.0,,,0.96,No Current
3595,0.3,,,0.96,Weak Current
3596,,155.0,5.1,0.96,
3597,0.0,,,0.96,No Current
3598,0.2,,,0.96,Weak Current
3599,,378.0,12.39,0.96,
3600,0.0,,,0.96,No Current
3601,0.8,,,0.96,Weak Current
3602,,62.0,2.02,0.96,
3603,0.0,,,0.96,No Current
3604,0.4,,,0.99,Weak Current
3605,,353.0,11.57,0.99,
3606,0.0,,,0.99,No Current
3607,0.3,,,0.99,Weak Current
3608,,187.0,6.12,0.99,
3609,0.0,,,0.99,No Current
3610,0.2,,,0.99,Weak Current
3611,,376.0,12.32,0.99,
3612,0.0,,,0.99,No Current
3613,0.9,,,0.99,Weak Current
3614,,93.0,3.05,0.99,
3615,0.0,,,1.0,No Current
3616,0.4,,,1.0,Weak Current
3617,,372.0,12.22,1.0,
3618,0.0,,,1.0,No Current
3619,0.2,,,1.0,Weak Current
3620,,212.0,6.95,1.0,
3621,0.0,,,1.0,No Current
3622,0.2,,,1.0,Weak Current
3623,0.0,,,1.0,No Current
3624,,367.0,12.04,1.0,
3625,0.9,,,1.0,Weak Current
3626,,107.0,3.52,1.0,
3627,0.0,,,0.97,No Current
3628,0.4,,,0.97,Weak Current
3629,,383.0,12.56,0.97,
3630,0.0,,,0.97,No Current
3631,0.2,,,0.97,Weak Current
3632,,230.0,7.53,0.97,
3633,0.0,,,0.97,No Current
3634,0.2,,,0.97,Weak Current
3635,0.0,,,0.97,No Current
3636,,352.0,11.55,0.97,
3637,0.8,,,0.97,Weak Current
3638,,105.0,3.43,0.97,
3639,0.0,,,0.92,No Current
3640,0.4,,,0.92,Weak Current
3641,,384.0,12.61,0.92,
3642,0.0,,,0.92,No Current
3643,0.2,,,0.92,Weak Current
3644,0.0,,,0.92,No Current
3645,,239.0,7.84,0.92,
3646,0.2,,,0.92,Weak Current
3647,0.0,,,0.92,No Current
3648,,332.0,10.88,0.92,
3649,0.7,,,0.92,Weak Current
3650,,87.0,2.87,0.85,
3651,0.0,,,0.85,No Current
3652,0.3,,,0.85,Weak Current
3653,,379.0,12.43,0.85,
3654,0.0,,,0.85,No Current
3655,0.2,,,0.85,Weak Current
3656,0.0,,,0.85,No Current
3657,,240.0,7.87,0.85,
3658,0.1,,,0.85,Weak Current
3659,0.0,,,0.85,No Current
3660,,307.0,10.06,0.85,
3661,0.6,,,0.76,Weak Current
3662,,60.0,1.96,0.76,
3663,0.0,,,0.76,No Current
3664,0.3,,,0.76,Weak Current
3665,0.0,,,0.76,No Current
3666,,370.0,12.14,0.76,
3667,0.2,,,0.76,Weak Current
3668,0.0,,,0.76,No Current
3669,,232.0,7.62,0.76,
3670,0.0,,,0.76,No Current
3671,,279.0,9.15,0.76,
3672,0.5,,,0.67,Weak Current
3673,,25.0,0.82,0.67,
3674,0.0,,,0.67,No Current
3675,0.2,,,0.67,Weak Current
3676,0.0,,,0.67,No Current
3677,,361.0,11.83,0.67,
3678,0.1,,,0.67,Weak Current
3679,0.0,,,0.67,No Current
3680,,215.0,7.04,0.67,
3681,0.0,,,0.67,No Current
3682,,251.0,8.25,0.67,
3683,0.4,,,0.57,Weak Current
3684,,13.0,0.43,0.57,
3685,0.0,,,0.57,No Current
3686,0.1,,,0.57,Weak Current
3687,0.0,,,0.57,No Current
3688,,353.0,11.58,0.57,
3689,0.1,,,0.57,Weak Current
3690,0.0,,,0.57,No Current
3691,,187.0,6.13,0.57,
3692,0.1,,,0.57,Weak Current
3693,,230.0,7.53,0.57,
3694,0.0,,,0.57,No Current
3695,0.3,,,0.47,Weak Current
3696,,52.0,1.72,0.47,
3697,0.0,,,0.47,No Current
3698,0.1,,,0.47,Weak Current
3699,0.0,,,0.47,No Current
3700,,347.0,11.4,0.47,
3701,0.1,,,0.47,Weak Current
3702,0.0,,,0.47,No Current
3703,,153.0,5.01,0.47,
3704,0.1,,,0.47,Weak Current
3705,0.0,,,0.47,No Current
3706,,220.0,7.22,0.47,
3707,0.0,,,0.47,No Current
3708,0.3,,,0.38,Weak Current
3709,,91.0,2.99,0.38,
3710,0.0,,,0.38,No Current
3711,0.1,,,0.38,Weak Current
3712,0.0,,,0.38,No Current
3713,,344.0,11.28,0.38,
3714,0.2,,,0.38,Weak Current
3715,,117.0,3.83,0.38,
3716,0.0,,,0.38,No Current
3717,0.0,,,0.29,No Current
3718,,228.0,7.47,0.29,
3719,0.3,,,0.29,Weak Current
3720,,127.0,4.17,0.29,
3721,0.0,,,0.29,No Current
3722,0.1,,,0.29,Weak Current
3723,0.0,,,0.29,No Current
3724,,341.0,11.18,0.29,
3725,0.3,,,0.29,Weak Current
3726,,81.0,2.66,0.29,
3727,0.0,,,0.29,No Current
3728,,249.0,8.18,0.21,
3729,0.0,,,0.21,No Current
3730,0.3,,,0.21,Weak Current
3731,,159.0,5.23,0.21,
3732,0.0,,,0.21,No Current
3733,0.1,,,0.21,Weak Current
3734,0.0,,,0.21,No Current
3735,,338.0,11.09,0.21,
3736,0.4,,,0.21,Weak Current
3737,,48.0,1.56,0.21,
3738,0.0,,,0.21,No Current
3739,0.1,,,0.14,Weak Current
3740,,277.0,9.08,0.14,
3741,0.0,,,0.14,No Current
3742,0.3,,,0.14,Weak Current
3743,,188.0,6.16,0.14,
3744,0.0,,,0.14,No Current
3745,0.1,,,0.14,Weak Current
3746,0.0,,,0.14,No Current
3747,,335.0,10.99,0.14,
3748,0.5,,,0.14,Weak Current
3749,,17.0,0.56,0.14,
3750,0.0,,,0.14,No Current
3751,0.2,,,0.08,Weak Current
3752,,304.0,9.98,0.08,
3753,0.0,,,0.08,No Current
3754,0.2,,,0.08,Weak Current
3755,,212.0,6.95,0.08,
3756,0.0,,,0.08,No Current
3757,0.1,,,0.08,Weak Current
3758,0.0,,,0.08,No Current
3759,,331.0,10.87,0.08,
3760,0.6,,,0.08,Weak Current
3761,,10.0,0.32,0.08,
3762,0.0,,,0.08,No Current
3763,0.3,,,0.04,Weak Current
3764,,328.0,10.75,0.04,
3765,0.0,,,0.04,No Current
3766,0.2,,,0.04,Weak Current
3767,,231.0,7.59,0.04,
3768,0.0,,,0.04,No Current
3769,0.1,,,0.04,Weak Current
3770,0.0,,,0.04,No Current
3771,,327.0,10.72,0.04,
3772,0.7,,,0.04,Weak Current
3773,,32.0,1.05,0.04,
3774,0.0,,,0.04,No Current
3775,0.3,,,0.01,Weak Current
3776,,346.0,11.35,0.01,
3777,0.0,,,0.01,No Current
3778,0.2,,,0.01,Weak Current
3779,0.0,,,0.01,No Current
3780,,245.0,8.05,0.01,
3781,0.1,,,0.01,Weak Current
3782,0.0,,,0.01,No Current
3783,,322.0,10.58,0.01,
3784,0.7,,,0.01,Weak Current
3785,,49.0,1.62,0.01,
3786,0.0,,,0.01,No Current
3787,0.4,,,0.0,Weak Current
3788,,359.0,11.77,0.0,
3789,0.0,,,0.0,No Current
3790,0.2,,,0.0,Weak Current
3791,0.0,,,0.0,No Current
3792,,255.0,8.36,0.0,
3793,0.1,,,0.0,Weak Current
3794,0.0,,,0.0,No Current
3795,,318.0,10.43,0.0,
3796,0.7,,,0.0,Weak Current
3797,,61.0,2.0,0.0,
3798,0.0,,,0.01,No Current
3799,0.3,,,0.01,Weak Current
3800,0.0,,,0.01,No Current
3801,,366.0,12.01,0.01,
3802,0.2,,,0.01,Weak Current
3803,0.0,,,0.01,No Current
3804,,260.0,8.52,0.01,
3805,0.2,,,0.01,Weak Current
3806,0.0,,,0.01,No Current
3807,,313.0,10.28,0.01,
3808,0.7,,,0.01,Weak Current
3809,,67.0,2.19,0.01,
3810,0.0,,,0.05,No Current
3811,0.3,,,0.05,Weak Current
3812,0.0,,,0.05,No Current
3813,,370.0,12.13,0.05,
3814,0.2,,,0.05,Weak Current
3815,0.0,,,0.05,No Current
3816,,261.0,8.55,0.05,
3817,0.2,,,0.05,Weak Current
3818,0.0,,,0.05,No Current
3819,,308.0,10.09,0.05,
3820,0.6,,,0.05,Weak Current
3821,,66.0,2.17,0.1,
3822,0.0,,,0.1,No Current
3823,0.3,,,0.1,Weak Current
3824,0.0,,,0.1,No Current
3825,,370.0,12.15,0.1,
3826,0.2,,,0.1,Weak Current
3827,0.0,,,0.1,No Current
3828,,257.0,8.43,0.1,
3829,0.2,,,0.1,Weak Current
3830,0.0,,,0.1,No Current
3831,,299.0,9.81,0.1,
3832,0.6,,,0.1,Weak Current
3833,,58.0,1.91,0.17,
3834,0.0,,,0.17,No Current
3835,0.3,,,0.17,Weak Current
3836,0.0,,,0.17,No Current
3837,,370.0,12.13,0.17,
3838,0.2,,,0.17,Weak Current
3839,0.0,,,0.17,No Current
3840,,247.0,8.12,0.17,
3841,0.2,,,0.17,Weak Current
3842,0.0,,,0.17,No Current
3843,,286.0,9.37,0.17,
3844,0.5,,,0.26,Weak Current
3845,,41.0,1.35,0.26,
3846,0.0,,,0.26,No Current
3847,0.2,,,0.26,Weak Current
3848,0.0,,,0.26,No Current
3849,,369.0,12.12,0.26,
3850,0.1,,,0.26,Weak Current
3851,0.0,,,0.26,No Current
3852,,229.0,7.51,0.26,
3853,0.1,,,0.26,Weak Current
3854,0.0,,,0.26,No Current
3855,,267.0,8.76,0.26,
3856,0.5,,,0.36,Weak Current
3857,,14.0,0.45,0.36,
3858,0.0,,,0.36,No Current
3859,0.2,,,0.36,Weak Current
3860,,370.0,12.14,0.36,
3861,0.0,,,0.36,No Current
3862,0.1,,,0.36,Weak Current
3863,,198.0,6.51,0.36,
3864,0.0,,,0.36,No Current
3865,0.1,,,0.36,Weak Current
3866,,247.0,8.09,0.36,
3867,0.1,,,0.36,Weak Current
3868,0.4,,,0.47,Weak Current
3869,,25.0,0.81,0.47,
3870,0.0,,,0.47,No Current
3871,0.2,,,0.47,Weak Current
3872,,372.0,12.2,0.47,
3873,0.0,,,0.47,No Current
3874,0.2,,,0.47,Weak Current
3875,,155.0,5.1,0.47,
3876,0.1,,,0.47,Weak Current
3877,0.0,,,0.47,No Current
3878,,235.0,7.7,0.47,
3879,0.4,,,0.58,Weak Current
3880,,71.0,2.34,0.58,
3881,0.0,,,0.58,No Current
3882,0.2,,,0.58,Weak Current
3883,,375.0,12.29,0.58,
3884,0.0,,,0.58,No Current
3885,0.4,,,0.58,Weak Current
3886,,102.0,3.36,0.58,
3887,0.0,,,0.58,No Current
3888,,241.0,7.91,0.58,
3889,0.0,,,0.69,No Current
3890,0.3,,,0.69,Weak Current
3891,,122.0,3.99,0.69,
3892,0.0,,,0.69,No Current
3893,0.2,,,0.69,Weak Current
3894,,377.0,12.38,0.69,
3895,0.0,,,0.69,No Current
3896,0.6,,,0.69,Weak Current
3897,,46.0,1.5,0.69,
3898,0.0,,,0.69,No Current
3899,0.2,,,0.69,Weak Current
3900,,267.0,8.77,0.79,
3901,0.0,,,0.79,No Current
3902,0.3,,,0.79,Weak Current
3903,,168.0,5.52,0.79,
3904,0.0,,,0.79,No Current
3905,0.2,,,0.79,Weak Current
3906,,379.0,12.43,0.79,
3907,0.0,,,0.79,No Current
3908,0.7,,,0.79,Weak Current
3909,,9.0,0.28,0.79,
3910,0.0,,,0.79,No Current
3911,0.3,,,0.88,Weak Current
3912,,305.0,10.0,0.88,
3913,0.0,,,0.88,No Current
3914,0.2,,,0.88,Weak Current
3915,,206.0,6.75,0.88,
3916,0.0,,,0.88,No Current
3917,0.2,,,0.88,Weak Current
3918,,379.0,12.42,0.88,
3919,0.0,,,0.88,No Current
3920,0.8,,,0.88,Weak Current
3921,,54.0,1.76,0.88,
3922,0.0,,,0.88,No Current
3923,0.4,,,0.94,Weak Current
3924,,341.0,11.19,0.94,
3925,0.0,,,0.94,No Current
3926,0.2,,,0.94,Weak Current
3927,,232.0,7.61,0.94,
3928,0.0,,,0.94,No Current
3929,0.2,,,0.94,Weak Current
3930,,375.0,12.3,0.94,
3931,0.0,,,0.94,No Current
3932,0.9,,,0.94,Weak Current
3933,,86.0,2.81,0.94,
3934,0.0,,,0.94,No Current
3935,0.4,,,0.98,Weak Current
3936,,369.0,12.11,0.98,
3937,0.0,,,0.98,No Current
3938,0.2,,,0.98,Weak Current
3939,0.0,,,0.98,No Current
3940,,247.0,8.1,0.98,
3941,0.2,,,0.98,Weak Current
3942,,368.0,12.06,0.98,
3943,0.0,,,0.98,No Current
3944,0.9,,,0.98,Weak Current
3945,,102.0,3.36,0.98,
3946,0.0,,,0.98,No Current
3947,0.4,,,1.0,Weak Current
3948,,386.0,12.65,1.0,
3949,0.0,,,1.0,No Current
3950,0.2,,,1.0,Weak Current
3951,0.0,,,1.0,No Current
3952,,252.0,8.27,1.0,
3953,0.2,,,1.0,Weak Current
3954,0.0,,,1.0,No Current
3955,,357.0,11.7,1.0,
3956,0.8,,,1.0,Weak Current
3957,,105.0,3.44,1.0,
3958,0.0,,,0.99,No Current
3959,0.4,,,0.99,Weak Current
3960,,392.0,12.86,0.99,
3961,0.0,,,0.99,No Current
3962,0.2,,,0.99,Weak Current
3963,0.0,,,0.99,No Current
3964,,250.0,8.21,0.99,
3965,0.1,,,0.99,Weak Current
3966,0.0,,,0.99,No Current
3967,,342.0,11.22,0.99,
3968,0.7,,,0.99,Weak Current
3969,,95.0,3.11,0.99,
3970,0.0,,,0.95,No Current
3971,0.3,,,0.95,Weak Current
3972,,391.0,12.83,0.95,
3973,0.0,,,0.95,No Current
3974,0.2,,,0.95,Weak Current
3975,0.0,,,0.95,No Current
3976,,243.0,7.97,0.95,
3977,0.1,,,0.95,Weak Current
3978,0.0,,,0.95,No Current
3979,,324.0,10.64,0.95,
3980,0.7,,,0.95,Weak Current
3981,,75.0,2.46,0.89,
3982,0.0,,,0.89,No Current
3983,0.3,,,0.89,Weak Current
3984,0.0,,,0.89,No Current
3985,,386.0,12.65,0.89,
3986,0.2,,,0.89,Weak Current
3987,0.0,,,0.89,No Current
3988,,231.0,7.58,0.89,
3989,0.1,,,0.89,Weak Current
3990,0.0,,,0.89,No Current
3991,,303.0,9.95,0.89,
3992,0.6,,,0.89,Weak Current
3993,,47.0,1.55,0.82,
3994,0.0,,,0.82,No Current
3995,0.2,,,0.82,Weak Current
3996,0.0,,,0.82,No Current
3997,,378.0,12.41,0.82,
3998,0.2,,,0.82,Weak Current
3999,0.0,,,0.82,No Current
4000,,215.0,7.07,0.82,
4001,0.0,,,0.82,No Current
4002,,280.0,9.18,0.82,
4003,0.5,,,0.74,Weak Current
4004,,13.0,0.42,0.74,
4005,0.0,,,0.74,No Current
4006,0.2,,,0.74,Weak Current
4007,0.0,,,0.74,No Current
4008,,371.0,12.17,0.74,
4009,0.1,,,0.74,Weak Current
4010,0.0,,,0.74,No Current
4011,,195.0,6.39,0.74,
4012,0.0,,,0.74,No Current
4013,,255.0,8.38,0.74,
4014,0.4,,,0.65,Weak Current
4015,,28.0,0.93,0.65,
4016,0.0,,,0.65,No Current
4017,0.2,,,0.65,Weak Current
4018,0.0,,,0.65,No Current
4019,,364.0,11.95,0.65,
4020,0.1,,,0.65,Weak Current
4021,0.0,,,0.65,No Current
4022,,169.0,5.53,0.65,
4023,0.0,,,0.65,No Current
4024,0.0,,,0.65,No Current
4025,,234.0,7.67,0.65,
4026,0.3,,,0.56,Weak Current
4027,,75.0,2.46,0.56,
4028,0.0,,,0.56,No Current
4029,0.1,,,0.56,Weak Current
4030,,358.0,11.73,0.56,
4031,0.0,,,0.56,No Current
4032,0.2,,,0.56,Weak Current
4033,0.0,,,0.56,No Current
4034,,138.0,4.52,0.56,
4035,0.1,,,0.56,Weak Current
4036,0.0,,,0.56,No Current
4037,,222.0,7.28,0.56,
4038,0.3,,,0.46,Weak Current
4039,,124.0,4.08,0.46,
4040,0.0,,,0.46,No Current
4041,0.1,,,0.46,Weak Current
4042,,351.0,11.5,0.46,
4043,0.0,,,0.46,No Current
4044,0.3,,,0.46,Weak Current
4045,,104.0,3.41,0.46,
4046,0.0,,,0.46,No Current
4047,0.0,,,0.46,No Current
4048,,228.0,7.47,0.37,
4049,0.2,,,0.37,Weak Current
4050,,173.0,5.68,0.37,
4051,0.0,,,0.37,No Current
4052,0.1,,,0.37,Weak Current
4053,,343.0,11.26,0.37,
4054,0.0,,,0.37,No Current
4055,0.4,,,0.37,Weak Current
4056,,70.0,2.3,0.37,
4057,0.0,,,0.37,No Current
4058,,253.0,8.3,0.28,
4059,0.0,,,0.28,No Current
4060,0.2,,,0.28,Weak Current
4061,,215.0,7.06,0.28,
4062,0.0,,,0.28,No Current
4063,0.1,,,0.28,Weak Current
4064,0.0,,,0.28,No Current
4065,,336.0,11.02,0.28,
4066,0.5,,,0.28,Weak Current
4067,,38.0,1.25,0.28,
4068,0.0,,,0.28,No Current
4069,0.2,,,0.28,Weak Current
4070,,287.0,9.43,0.2,
4071,0.0,,,0.2,No Current
4072,0.1,,,0.2,Weak Current
4073,,245.0,8.03,0.2,
4074,0.0,,,0.2,No Current
4075,0.0,,,0.2,No Current
4076,,329.0,10.79,0.2,
4077,0.6,,,0.2,Weak Current
4078,,9.0,0.3,0.2,
4079,0.0,,,0.2,No Current
4080,0.2,,,0.13,Weak Current
4081,,319.0,10.45,0.13,
4082,0.0,,,0.13,No Current
4083,0.1,,,0.13,Weak Current
4084,0.0,,,0.13,No Current
4085,,261.0,8.57,0.13,
4086,0.0,,,0.13,No Current
4087,,323.0,10.61,0.13,
4088,0.7,,,0.13,Weak Current
4089,,16.0,0.52,0.13,
4090,0.0,,,0.13,No Current
4091,0.3,,,0.07,Weak Current
4092,,342.0,11.23,0.07,
4093,0.0,,,0.07,No Current
4094,0.1,,,0.07,Weak Current
4095,0.0,,,0.07,No Current
4096,,269.0,8.82,0.07,
4097,0.1,,,0.07,Weak Current
4098,0.0,,,0.07,No Current
4099,,320.0,10.5,0.07,
4100,0.7,,,0.07,Weak Current
4101,,37.0,1.22,0.07,
4102,0.0,,,0.07,No Current
4103,0.3,,,0.03,Weak Current
4104,,359.0,11.77,0.03,
4105,0.0,,,0.03,No Current
4106,0.1,,,0.03,Weak Current
4107,0.0,,,0.03,No Current
4108,,271.0,8.89,0.03,
4109,0.1,,,0.03,Weak Current
4110,0.0,,,0.03,No Current
4111,,319.0,10.47,0.03,
4112,0.7,,,0.03,Weak Current
4113,,55.0,1.79,0.03,
4114,0.0,,,0.03,No Current
4115,0.3,,,0.01,Weak Current
4116,0.0,,,0.01,No Current
4117,,369.0,12.1,0.01,
4118,0.1,,,0.01,Weak Current
4119,0.0,,,0.01,No Current
4120,,269.0,8.83,0.01,
4121,0.1,,,0.01,Weak Current
4122,0.0,,,0.01,No Current
4123,,319.0,10.48,0.01,
4124,0.7,,,0.01,Weak Current
4125,,67.0,2.21,0.01,
4126,0.0,,,0.0,No Current
4127,0.3,,,0.0,Weak Current
4128,0.0,,,0.0,No Current
4129,,375.0,12.31,0.0,
4130,0.2,,,0.0,Weak Current
4131,0.0,,,0.0,No Current
4132,,263.0,8.63,0.0,
4133,0.2,,,0.0,Weak Current
4134,0.0,,,0.0,No Current
4135,,320.0,10.49,0.0,
4136,0.7,,,0.0,Weak Current
4137,,77.0,2.53,0.0,
4138,0.0,,,0.75,No Current
4139,,19.0,0.62,0.75,
4140,4.0,,,0.75,Strong Current
4141,0.0,,,0.75,No Current
4142,,324.0,10.63,0.75,
4143,5.3,,,0.75,Strong Current
4144,0.0,,,0.75,No Current
4145,2.9,,,0.75,Strong Current
4146,,172.0,5.65,0.75,
4147,0.0,,,0.75,No Current
4148,,218.0,7.16,0.75,
4149,3.9,,,0.75,Strong Current
4150,0.0,,,0.67,No Current
4151,,55.0,1.79,0.67,
4152,3.5,,,0.67,Strong Current
4153,0.0,,,0.67,No Current
4154,,321.0,10.53,0.67,
4155,5.1,,,0.67,Strong Current
4156,0.0,,,0.67,No Current
4157,2.8,,,0.67,Strong Current
4158,,148.0,4.84,0.67,
4159,0.0,,,0.67,No Current
4160,,205.0,6.71,0.67,
4161,3.5,,,0.67,Strong Current
4162,0.0,,,0.58,No Current
4163,,97.0,3.18,0.58,
4164,3.2,,,0.58,Strong Current
4165,0.0,,,0.58,No Current
4166,,317.0,10.4,0.58,
4167,4.9,,,0.58,Strong Current
4168,0.0,,,0.58,No Current
4169,,119.0,3.89,0.58,
4170,2.7,,,0.58,Strong Current
4171,0.0,,,0.58,No Current
4172,,199.0,6.53,0.58,
4173,3.3,,,0.58,Strong Current
4174,0.0,,,0.48,No Current
4175,,143.0,4.69,0.48,
4176,3.1,,,0.48,Strong Current
4177,0.0,,,0.48,No Current
4178,,312.0,10.22,0.48,
4179,4.9,,,0.48,Strong Current
4180,0.0,,,0.48,No Current
4181,,87.0,2.84,0.48,
4182,2.7,,,0.48,Strong Current
4183,0.0,,,0.48,No Current
4184,,208.0,6.83,0.39,
4185,3.5,,,0.39,Strong Current
4186,0.0,,,0.39,No Current
4187,,188.0,6.18,0.39,
4188,3.3,,,0.39,Strong Current
4189,0.0,,,0.39,No Current
4190,,305.0,10.02,0.39,
4191,5.4,,,0.39,Strong Current
4192,0.0,,,0.39,No Current
4193,,53.0,1.73,0.39,
4194,3.1,,,0.39,Strong Current
4195,0.0,,,0.39,No Current
4196,,234.0,7.67,0.29,
4197,3.9,,,0.29,Strong Current
4198,0.0,,,0.29,No Current
4199,,227.0,7.46,0.29,
4200,3.4,,,0.29,Strong Current
4201,0.0,,,0.29,No Current
4202,,300.0,9.84,0.29,
4203,6.1,,,0.29,Strong Current
4204,0.0,,,0.29,No Current
4205,,19.0,0.62,0.29,
4206,3.9,,,0.29,Strong Current
4207,0.0,,,0.2,No Current
4208,,266.0,8.72,0.2,
4209,4.3,,,0.2,Strong Current
4210,0.0,,,0.2,No Current
4211,,253.0,8.29,0.2,
4212,3.5,,,0.2,Strong Current
4213,0.0,,,0.2,No Current
4214,,297.0,9.73,0.2,
4215,6.8,,,0.2,Strong Current
4216,0.0,,,0.2,No Current
4217,,13.0,0.44,0.2,
4218,4.9,,,0.2,Strong Current
4219,0.0,,,0.13,No Current
4220,,294.0,9.64,0.13,
4221,4.7,,,0.13,Strong Current
4222,0.0,,,0.13,No Current
4223,,264.0,8.66,0.13,
4224,3.5,,,0.13,Strong Current
4225,0.0,,,0.13,No Current
4226,,296.0,9.72,0.13,
4227,7.5,,,0.13,Strong Current
4228,0.0,,,0.13,No Current
4229,,43.0,1.42,0.13,
4230,5.9,,,0.13,Strong Current
4231,0.0,,,0.06,No Current
4232,,315.0,10.34,0.06,
4233,5.0,,,0.06,Strong Current
4234,0.0,,,0.06,No Current
4235,,265.0,8.71,0.06,
4236,3.5,,,0.06,Strong Current
4237,0.0,,,0.06,No Current
4238,,299.0,9.82,0.06,
4239,8.0,,,0.06,Strong Current
4240,0.0,,,0.06,No Current
4241,,69.0,2.25,0.06,
4242,6.6,,,0.06,Strong Current
4243,0.0,,,0.02,No Current
4244,,330.0,10.82,0.02,
4245,5.3,,,0.02,Strong Current
4246,0.0,,,0.02,No Current
4247,,261.0,8.55,0.02,
4248,3.3,,,0.02,Strong Current
4249,0.0,,,0.02,No Current
4250,,304.0,9.96,0.02,
4251,8.1,,,0.02,Strong Current
4252,0.0,,,0.02,No Current
4253,,87.0,2.85,0.02,
4254,7.1,,,0.02,Strong Current
4255,0.0,,,0.0,No Current
4256,,339.0,11.13,0.0,
4257,5.6,,,0.0,Strong Current
4258,0.0,,,0.0,No Current
4259,,250.0,8.19,0.0,
4260,3.3,,,0.0,Strong Current
4261,0.0,,,0.0,No Current
4262,,307.0,10.06,0.0,
4263,7.9,,,0.0,Strong Current
4264,0.0,,,0.0,No Current
4265,,96.0,3.16,0.0,
4266,7.2,,,0.01,Strong Current
4267,0.0,,,0.01,No Current
4268,,346.0,11.34,0.01,
4269,6.1,,,0.01,Strong Current
4270,0.0,,,0.01,No Current
4271,,233.0,7.64,0.01,
4272,3.4,,,0.01,Strong Current
4273,0.0,,,0.01,No Current
4274,,306.0,10.03,0.01,
4275,7.5,,,0.01,Strong Current
4276,0.0,,,0.01,No Current
4277,,93.0,3.06,0.05,
4278,7.1,,,0.05,Strong Current
4279,0.0,,,0.05,No Current
4280,,350.0,11.48,0.05,
4281,6.5,,,0.05,Strong Current
4282,0.0,,,0.05,No Current
4283,,210.0,6.89,0.05,
4284,3.7,,,0.05,Strong Current
4285,0.0,,,0.05,No Current
4286,,298.0,9.78,0.05,
4287,7.0,,,0.05,Strong Current
4288,0.0,,,0.05,No Current
4289,,75.0,2.47,0.11,
4290,6.7,,,0.11,Strong Current
4291,0.0,,,0.11,No Current
4292,,353.0,11.58,0.11,
4293,6.8,,,0.11,Strong Current
4294,0.0,,,0.11,No Current
4295,,182.0,5.96,0.11,
4296,3.9,,,0.11,Strong Current
4297,0.0,,,0.11,No Current
4298,,283.0,9.29,0.11,
4299,6.5,,,0.11,Strong Current
4300,0.0,,,0.11,No Current
4301,,42.0,1.37,0.2,
4302,6.2,,,0.2,Strong Current
4303,0.0,,,0.2,No Current
4304,,354.0,11.63,0.2,
4305,6.8,,,0.2,Strong Current
4306,0.0,,,0.2,No Current
4307,,148.0,4.86,0.2,
4308,3.9,,,0.2,Strong Current
4309,0.0,,,0.2,No Current
4310,,263.0,8.63,0.2,
4311,5.9,,,0.2,Strong Current
4312,0.0,,,0.3,No Current
4313,,6.0,0.21,0.3,
4314,5.6,,,0.3,Strong Current
4315,0.0,,,0.3,No Current
4316,,354.0,11.61,0.3,
4317,6.6,,,0.3,Strong Current
4318,0.0,,,0.3,No Current
4319,,112.0,3.68,0.3,
4320,3.6,,,0.3,Strong Current
4321,0.0,,,0.3,No Current
4322,,243.0,7.96,0.3,
4323,5.2,,,0.3,Strong Current
4324,0.0,,,0.41,No Current
4325,,65.0,2.13,0.41,
4326,5.0,,,0.41,Strong Current
4327,0.0,,,0.41,No Current
4328,,350.0,11.47,0.41,
4329,6.1,,,0.41,Strong Current
4330,0.0,,,0.41,No Current
4331,,76.0,2.49,0.41,
4332,3.3,,,0.41,Strong Current
4333,0.0,,,0.41,No Current
4334,,230.0,7.53,0.41,
4335,4.6,,,0.41,Strong Current
4336,0.0,,,0.52,No Current
4337,,128.0,4.2,0.52,
4338,4.6,,,0.52,Strong Current
4339,0.0,,,0.52,No Current
4340,,341.0,11.19,0.52,
4341,5.9,,,0.52,Strong Current
4342,0.0,,,0.52,No Current
4343,,42.0,1.37,0.52,
4344,3.5,,,0.52,Strong Current
