,Dive_Site,Current_Speed_(knots),Moon Illuminated
4668,Deception Pass,3.6,0.36
4671,Deception Pass,4.6,0.36
4674,Deception Pass,4.4,0.47
4677,Deception Pass,6.0,0.47
4680,Deception Pass,3.8,0.47
4683,Deception Pass,4.5,0.58
4686,Deception Pass,3.8,0.58
4689,Deception Pass,5.8,0.58
4692,Deception Pass,4.5,0.58
4695,Deception Pass,4.8,0.68
4698,Deception Pass,3.4,0.68
4701,Deception Pass,5.8,0.68
4704,Deception Pass,5.2,0.68
4707,Deception Pass,5.4,0.77
4710,Deception Pass,3.4,0.77
4713,Deception Pass,5.8,0.77
4716,Deception Pass,5.7,0.77
4719,Deception Pass,5.9,0.84
4722,Deception Pass,3.5,0.84
4725,Deception Pass,5.8,0.84
4728,Deception Pass,5.8,0.84
4731,Deception Pass,6.2,0.91
4734,Deception Pass,3.7,0.91
4737,Deception Pass,5.5,0.91
4740,Deception Pass,5.4,0.91
4743,Deception Pass,6.3,0.96
4746,Deception Pass,3.8,0.96
4749,Deception Pass,5.3,0.96
4752,Deception Pass,4.9,0.96
4755,Deception Pass,6.1,0.99
4758,Deception Pass,4.0,0.99
4761,Deception Pass,5.1,0.99
4764,Deception Pass,4.5,1.0
4767,Deception Pass,6.0,1.0
4770,Deception Pass,4.1,1.0
4773,Deception Pass,5.0,1.0
4776,Deception Pass,4.3,0.99
4779,Deception Pass,6.0,0.99
4782,Deception Pass,4.3,0.99
4785,Deception Pass,5.1,0.99
4788,Deception Pass,4.3,0.97
4791,Deception Pass,6.1,0.97
4794,Deception Pass,4.4,0.97
4797,Deception Pass,5.2,0.97
4800,Deception Pass,4.3,0.93
4803,Deception Pass,6.2,0.93
4806,Deception Pass,4.4,0.93
4809,Deception Pass,5.2,0.93
4812,Deception Pass,4.4,0.88
4815,Deception Pass,6.3,0.88
4818,Deception Pass,4.4,0.88
4821,Deception Pass,5.0,0.88
4824,Deception Pass,4.2,0.81
4827,Deception Pass,6.3,0.81
4830,Deception Pass,4.2,0.81
4833,Deception Pass,4.4,0.81
4836,Deception Pass,3.7,0.73
4839,Deception Pass,6.3,0.73
4842,Deception Pass,4.0,0.73
4845,Deception Pass,3.7,0.73
4848,Deception Pass,3.1,0.63
4851,Deception Pass,6.1,0.63
4854,Deception Pass,4.0,0.63
4857,Deception Pass,3.4,0.53
4860,Deception Pass,2.4,0.53
4863,Deception Pass,6.1,0.53
4866,Deception Pass,4.4,0.53
4869,Deception Pass,3.8,0.43
4872,Deception Pass,2.0,0.43
4875,Deception Pass,6.1,0.43
4878,Deception Pass,4.9,0.43
4881,Deception Pass,4.5,0.32
4884,Deception Pass,2.0,0.32
4887,Deception Pass,6.2,0.32
4890,Deception Pass,5.4,0.32
4893,Deception Pass,5.3,0.22
4896,Deception Pass,2.5,0.22
4899,Deception Pass,6.2,0.22
4902,Deception Pass,5.9,0.22
4905,Deception Pass,6.0,0.13
4908,Deception Pass,3.3,0.13
4911,Deception Pass,6.3,0.13
4914,Deception Pass,6.2,0.13
4917,Deception Pass,6.6,0.06
4920,Deception Pass,4.1,0.06
4923,Deception Pass,6.4,0.06
4926,Deception Pass,6.2,0.06
4929,Deception Pass,7.1,0.02
4932,Deception Pass,4.7,0.02
4935,Deception Pass,6.5,0.02
4938,Deception Pass,6.2,0.02
4941,Deception Pass,7.4,0.0
4944,Deception Pass,5.1,0.0
4947,Deception Pass,6.6,0.0
4950,Deception Pass,6.1,0.01
4953,Deception Pass,7.5,0.01
4956,Deception Pass,5.2,0.01
4959,Deception Pass,6.5,0.01
4962,Deception Pass,6.0,0.06
4965,Deception Pass,7.5,0.06
4968,Deception Pass,5.1,0.06
4971,Deception Pass,6.3,0.06
4974,Deception Pass,5.8,0.13
4977,Deception Pass,7.4,0.13
4980,Deception Pass,4.8,0.13
4983,Deception Pass,5.9,0.13
4986,Deception Pass,5.4,0.21
4989,Deception Pass,7.1,0.21
4992,Deception Pass,4.4,0.21
4995,Deception Pass,5.1,0.21
4998,Deception Pass,4.7,0.31
5001,Deception Pass,6.6,0.31
5004,Deception Pass,4.2,0.31
5007,Deception Pass,4.6,0.41
5010,Deception Pass,3.7,0.41
5013,Deception Pass,6.0,0.41
5016,Deception Pass,4.3,0.41
5019,Deception Pass,4.6,0.52
5022,Deception Pass,2.9,0.52
5025,Deception Pass,5.3,0.52
5028,Deception Pass,4.5,0.52
5031,Deception Pass,4.9,0.62
5034,Deception Pass,2.5,0.62
5037,Deception Pass,4.8,0.62
5040,Deception Pass,4.8,0.62
5043,Deception Pass,5.4,0.71
5046,Deception Pass,2.7,0.71
5049,Deception Pass,4.5,0.71
5052,Deception Pass,4.8,0.71
5055,Deception Pass,5.9,0.79
5058,Deception Pass,3.2,0.79
5061,Deception Pass,4.5,0.79
5064,Deception Pass,4.6,0.79
5067,Deception Pass,6.1,0.87
5070,Deception Pass,3.7,0.87
5073,Deception Pass,4.5,0.87
5076,Deception Pass,4.3,0.87
5079,Deception Pass,6.1,0.92
5082,Deception Pass,4.1,0.92
5085,Deception Pass,4.7,0.92
5088,Deception Pass,4.0,0.97
5091,Deception Pass,6.0,0.97
5094,Deception Pass,4.4,0.97
5097,Deception Pass,4.9,0.97
5100,Deception Pass,4.1,0.99
5103,Deception Pass,6.1,0.99
5106,Deception Pass,4.6,0.99
5109,Deception Pass,5.1,0.99
5112,Deception Pass,4.2,1.0
5115,Deception Pass,6.3,1.0
5118,Deception Pass,4.7,1.0
5121,Deception Pass,5.3,1.0
5124,Deception Pass,4.4,0.99
5127,Deception Pass,6.5,0.99
5130,Deception Pass,4.8,0.99
5133,Deception Pass,5.4,0.99
5136,Deception Pass,4.6,0.96
5139,Deception Pass,6.7,0.96
5142,Deception Pass,4.9,0.96
5145,Deception Pass,5.3,0.96
5148,Deception Pass,4.5,0.92
5151,Deception Pass,7.0,0.92
5154,Deception Pass,5.0,0.92
5157,Deception Pass,5.0,0.92
5160,Deception Pass,4.1,0.86
5163,Deception Pass,7.2,0.86
5166,Deception Pass,5.1,0.86
5169,Deception Pass,4.5,0.86
5172,Deception Pass,3.4,0.78
5175,Deception Pass,7.1,0.78
5178,Deception Pass,5.2,0.78
5181,Deception Pass,3.9,0.78
5184,Deception Pass,2.5,0.69
5187,Deception Pass,6.7,0.69
5190,Deception Pass,5.2,0.69
5193,Deception Pass,3.8,0.59
5196,Deception Pass,1.8,0.59
5199,Deception Pass,6.1,0.59
5202,Deception Pass,5.1,0.59
5205,Deception Pass,4.2,0.48
5208,Deception Pass,1.5,0.48
5211,Deception Pass,5.5,0.48
5214,Deception Pass,5.2,0.48
5217,Deception Pass,4.9,0.37
5220,Deception Pass,1.9,0.37
5223,Deception Pass,5.2,0.37
5226,Deception Pass,5.2,0.37
5229,Deception Pass,5.7,0.26
5232,Deception Pass,2.8,0.26
5235,Deception Pass,5.3,0.26
5238,Deception Pass,5.3,0.26
5241,Deception Pass,6.4,0.17
5244,Deception Pass,3.9,0.17
5247,Deception Pass,5.6,0.17
5250,Deception Pass,5.5,0.17
5253,Deception Pass,7.0,0.09
5256,Deception Pass,4.8,0.09
5259,Deception Pass,6.0,0.09
5262,Deception Pass,5.7,0.09
5265,Deception Pass,7.5,0.03
5268,Deception Pass,5.3,0.03
5271,Deception Pass,6.3,0.03
5274,Deception Pass,5.9,0.0
5277,Deception Pass,7.7,0.0
5280,Deception Pass,5.5,0.0
5283,Deception Pass,6.4,0.0
5286,Deception Pass,5.9,0.0
5289,Deception Pass,7.8,0.0
5292,Deception Pass,5.5,0.0
5295,Deception Pass,6.3,0.0
5298,Deception Pass,5.8,0.04
5301,Deception Pass,7.8,0.04
5304,Deception Pass,5.4,0.04
5307,Deception Pass,6.1,0.04
5310,Deception Pass,5.5,0.09
5313,Deception Pass,7.7,0.09
5316,Deception Pass,5.3,0.09
5319,Deception Pass,5.7,0.09
5322,Deception Pass,4.8,0.17
5325,Deception Pass,7.3,0.17
5328,Deception Pass,5.1,0.17
5331,Deception Pass,5.1,0.17
5334,Deception Pass,3.9,0.26
5337,Deception Pass,6.7,0.26
5340,Deception Pass,4.8,0.26
5343,Deception Pass,4.8,0.35
5346,Deception Pass,2.9,0.35
5349,Deception Pass,5.7,0.35
5352,Deception Pass,4.5,0.35
5355,Deception Pass,4.8,0.45
5358,Deception Pass,2.1,0.45
5361,Deception Pass,4.6,0.45
5364,Deception Pass,4.2,0.45
5367,Deception Pass,5.0,0.55
5370,Deception Pass,2.0,0.55
5373,Deception Pass,3.7,0.55
5376,Deception Pass,3.8,0.55
5379,Deception Pass,5.3,0.65
5382,Deception Pass,2.4,0.65
5385,Deception Pass,3.4,0.65
5388,Deception Pass,3.5,0.65
5391,Deception Pass,5.5,0.74
5394,Deception Pass,3.1,0.74
5397,Deception Pass,3.7,0.74
5400,Deception Pass,3.4,0.74
5403,Deception Pass,5.6,0.82
5406,Deception Pass,3.8,0.82
5409,Deception Pass,4.1,0.82
5412,Deception Pass,3.4,0.82
5415,Deception Pass,5.7,0.88
5418,Deception Pass,4.2,0.88
5421,Deception Pass,4.6,0.88
5424,Deception Pass,3.7,0.88
5427,Deception Pass,5.9,0.94
5430,Deception Pass,4.4,0.94
5433,Deception Pass,5.0,0.94
5436,Deception Pass,4.1,0.94
5439,Deception Pass,6.3,0.97
5442,Deception Pass,4.7,0.97
5445,Deception Pass,5.2,0.97
5448,Deception Pass,4.5,1.0
5451,Deception Pass,6.7,1.0
5454,Deception Pass,5.0,1.0
5457,Deception Pass,5.3,1.0
5460,Deception Pass,4.6,1.0
5463,Deception Pass,7.1,1.0
5466,Deception Pass,5.2,1.0
5469,Deception Pass,5.3,1.0
5472,Deception Pass,4.5,0.98
5475,Deception Pass,7.5,0.98
5478,Deception Pass,5.6,0.98
5481,Deception Pass,5.1,0.98
5484,Deception Pass,4.1,0.95
5487,Deception Pass,7.8,0.95
5490,Deception Pass,6.0,0.95
5493,Deception Pass,4.9,0.95
5496,Deception Pass,3.5,0.89
5499,Deception Pass,7.8,0.89
5502,Deception Pass,6.2,0.89
5505,Deception Pass,4.7,0.89
5508,Deception Pass,2.8,0.82
5511,Deception Pass,7.5,0.82
5514,Deception Pass,6.3,0.82
5517,Deception Pass,4.5,0.82
5520,Deception Pass,2.1,0.73
5523,Deception Pass,6.7,0.73
5526,Deception Pass,6.0,0.73
5529,Deception Pass,4.5,0.63
5532,Deception Pass,1.7,0.63
5535,Deception Pass,5.7,0.63
5538,Deception Pass,5.5,0.63
5541,Deception Pass,4.8,0.52
5544,Deception Pass,1.7,0.52
5547,Deception Pass,4.9,0.52
5550,Deception Pass,5.0,0.52
5553,Deception Pass,5.3,0.4
5556,Deception Pass,2.3,0.4
